QP=42 | PSNR=39.37 | SSIM=0.9801 | size=62 B | ratio=0.0124 | reduction=98.76% | time=3.9489s
QP=48 | PSNR=37.25 | SSIM=0.9753 | size=46 B | ratio=0.0092 | reduction=99.08% | time=5.1204s
QP= 6 | PSNR=56.34 | SSIM=0.9998 | size=26.48 KB | ratio=1.2214 | reduction=-22.14% | time=3.5069s
QP=12 | PSNR=51.12 | SSIM=0.9992 | size=16.17 KB | ratio=0.7459 | reduction=25.41% | time=10.5202s
QP=18 | PSNR=46.14 | SSIM=0.9973 | size=8.60 KB | ratio=0.3969 | reduction=60.31% | time=12.4210s
QP=24 | PSNR=41.98 | SSIM=0.9918 | size=4.15 KB | ratio=0.1913 | reduction=80.87% | time=11.2741s
QP=30 | PSNR=38.32 | SSIM=0.9787 | size=1.79 KB | ratio=0.0824 | reduction=91.76% | time=7.6048s
QP=36 | PSNR=34.97 | SSIM=0.9502 | size=639 B | ratio=0.0288 | reduction=97.12% | time=11.0078s
QP=42 | PSNR=32.30 | SSIM=0.9022 | size=169 B | ratio=0.0076 | reduction=99.24% | time=7.2699s
QP=48 | PSNR=30.76 | SSIM=0.8654 | size=68 B | ratio=0.0031 | reduction=99.69% | time=5.3185s
QP= 6 | PSNR=54.64 | SSIM=0.9998 | size=16.33 KB | ratio=1.4991 | reduction=-49.91% | time=5.2253s
QP=12 | PSNR=49.46 | SSIM=0.9994 | size=10.72 KB | ratio=0.9840 | reduction=1.60% | time=5.7247s
QP=18 | PSNR=44.40 | SSIM=0.9981 | size=5.87 KB | ratio=0.5390 | reduction=46.10% | time=5.3059s
QP=24 | PSNR=40.23 | SSIM=0.9943 | size=3.09 KB | ratio=0.2836 | reduction=71.64% | time=3.4300s
QP=30 | PSNR=36.32 | SSIM=0.9845 | size=1.58 KB | ratio=0.1455 | reduction=85.45% | time=4.4607s
QP=36 | PSNR=32.54 | SSIM=0.9589 | size=751 B | ratio=0.0673 | reduction=93.27% | time=3.6502s
QP=42 | PSNR=28.68 | SSIM=0.8936 | size=308 B | ratio=0.0276 | reduction=97.24% | time=4.8661s
QP=48 | PSNR=26.39 | SSIM=0.8064 | size=135 B | ratio=0.0121 | reduction=98.79% | time=1.5533s
QP= 6 | PSNR=62.15 | SSIM=0.9999 | size=3.83 KB | ratio=0.8127 | reduction=18.73% | time=5.1686s
QP=12 | PSNR=57.18 | SSIM=0.9997 | size=2.42 KB | ratio=0.5118 | reduction=48.82% | time=5.9434s
QP=18 | PSNR=51.77 | SSIM=0.9991 | size=1.49 KB | ratio=0.3150 | reduction=68.50% | time=3.1184s
QP=24 | PSNR=47.21 | SSIM=0.9972 | size=861 B | ratio=0.1782 | reduction=82.18% | time=5.3453s
QP=30 | PSNR=42.68 | SSIM=0.9920 | size=445 B | ratio=0.0921 | reduction=90.79% | time=2.8794s
QP=36 | PSNR=39.04 | SSIM=0.9844 | size=206 B | ratio=0.0426 | reduction=95.74% | time=2.3632s
