QP=18 | PSNR=47.07 | SSIM=0.9955 | size=4.01 KB | ratio=0.0600 | reduction=94.00% | time=0.7304s
QP=24 | PSNR=45.41 | SSIM=0.9926 | size=1.96 KB | ratio=0.0293 | reduction=97.07% | time=0.6635s
QP=30 | PSNR=42.79 | SSIM=0.9846 | size=1.25 KB | ratio=0.0187 | reduction=98.13% | time=0.6123s
QP=36 | PSNR=38.52 | SSIM=0.9566 | size=474 B | ratio=0.0069 | reduction=99.31% | time=0.5621s
QP=42 | PSNR=35.91 | SSIM=0.9272 | size=256 B | ratio=0.0037 | reduction=99.63% | time=0.5351s
QP=48 | PSNR=32.94 | SSIM=0.8726 | size=148 B | ratio=0.0022 | reduction=99.78% | time=0.5169s
QP= 6 | PSNR=53.70 | SSIM=0.9995 | size=14.77 KB | ratio=0.2479 | reduction=75.21% | time=1.0506s
QP=12 | PSNR=50.27 | SSIM=0.9984 | size=6.72 KB | ratio=0.1128 | reduction=88.72% | time=0.7995s
QP=18 | PSNR=47.60 | SSIM=0.9959 | size=3.44 KB | ratio=0.0578 | reduction=94.22% | time=0.7169s
QP=24 | PSNR=46.01 | SSIM=0.9933 | size=1.58 KB | ratio=0.0265 | reduction=97.35% | time=0.6188s
QP=30 | PSNR=42.97 | SSIM=0.9843 | size=888 B | ratio=0.0146 | reduction=98.54% | time=0.5844s
QP=36 | PSNR=39.93 | SSIM=0.9704 | size=416 B | ratio=0.0068 | reduction=99.32% | time=0.5593s
QP=42 | PSNR=37.27 | SSIM=0.9539 | size=265 B | ratio=0.0043 | reduction=99.57% | time=0.5564s
QP=48 | PSNR=34.04 | SSIM=0.9239 | size=165 B | ratio=0.0027 | reduction=99.73% | time=0.5594s
QP= 6 | PSNR=53.82 | SSIM=0.9994 | size=14.47 KB | ratio=0.2466 | reduction=75.34% | time=1.0313s
QP=12 | PSNR=50.41 | SSIM=0.9984 | size=6.54 KB | ratio=0.1114 | reduction=88.86% | time=0.7918s
QP=18 | PSNR=47.67 | SSIM=0.9957 | size=3.23 KB | ratio=0.0551 | reduction=94.49% | time=0.6867s
QP=24 | PSNR=46.07 | SSIM=0.9930 | size=1.50 KB | ratio=0.0255 | reduction=97.45% | time=0.6055s
QP=30 | PSNR=43.13 | SSIM=0.9837 | size=844 B | ratio=0.0140 | reduction=98.60% | time=0.5754s
QP=36 | PSNR=40.05 | SSIM=0.9681 | size=355 B | ratio=0.0059 | reduction=99.41% | time=0.5550s
QP=42 | PSNR=37.65 | SSIM=0.9526 | size=226 B | ratio=0.0038 | reduction=99.62% | time=0.5396s
QP=48 | PSNR=34.03 | SSIM=0.9199 | size=145 B | ratio=0.0024 | reduction=99.76% | time=0.5151s
QP= 6 | PSNR=53.35 | SSIM=0.9994 | size=16.73 KB | ratio=0.2611 | reduction=73.89% | time=1.0613s
QP=12 | PSNR=49.83 | SSIM=0.9983 | size=7.43 KB | ratio=0.1159 | reduction=88.41% | time=0.8276s
