QP=24 | PSNR=44.68 | SSIM=0.9946 | size=12.62 KB | ratio=0.0511 | reduction=94.89% | time=2.9290s
QP=30 | PSNR=40.85 | SSIM=0.9891 | size=6.50 KB | ratio=0.0264 | reduction=97.36% | time=2.7280s
QP=36 | PSNR=37.30 | SSIM=0.9805 | size=3.50 KB | ratio=0.0142 | reduction=98.58% | time=2.3690s
QP=42 | PSNR=33.65 | SSIM=0.9678 | size=1.96 KB | ratio=0.0079 | reduction=99.21% | time=2.3359s
QP=48 | PSNR=30.10 | SSIM=0.9461 | size=1.12 KB | ratio=0.0045 | reduction=99.55% | time=2.1557s
QP= 6 | PSNR=51.40 | SSIM=0.9987 | size=132.49 KB | ratio=0.3716 | reduction=62.84% | time=5.3654s
QP=12 | PSNR=48.03 | SSIM=0.9976 | size=65.98 KB | ratio=0.1851 | reduction=81.49% | time=4.5138s
QP=18 | PSNR=44.89 | SSIM=0.9952 | size=31.54 KB | ratio=0.0885 | reduction=91.15% | time=3.9289s
QP=24 | PSNR=42.39 | SSIM=0.9911 | size=17.24 KB | ratio=0.0484 | reduction=95.16% | time=3.5774s
QP=30 | PSNR=39.30 | SSIM=0.9813 | size=9.57 KB | ratio=0.0268 | reduction=97.32% | time=2.7890s
QP=36 | PSNR=35.59 | SSIM=0.9570 | size=4.53 KB | ratio=0.0127 | reduction=98.73% | time=2.7177s
QP=42 | PSNR=32.29 | SSIM=0.9224 | size=2.00 KB | ratio=0.0056 | reduction=99.44% | time=2.2232s
QP=48 | PSNR=29.37 | SSIM=0.8972 | size=1.10 KB | ratio=0.0031 | reduction=99.69% | time=2.3244s
QP= 6 | PSNR=51.76 | SSIM=0.9987 | size=92.46 KB | ratio=0.3184 | reduction=68.16% | time=5.0364s
QP=12 | PSNR=49.14 | SSIM=0.9980 | size=51.12 KB | ratio=0.1760 | reduction=82.40% | time=4.2144s
QP=18 | PSNR=45.92 | SSIM=0.9962 | size=26.48 KB | ratio=0.0912 | reduction=90.88% | time=3.1671s
QP=24 | PSNR=43.37 | SSIM=0.9930 | size=14.45 KB | ratio=0.0498 | reduction=95.02% | time=3.1069s
QP=30 | PSNR=40.14 | SSIM=0.9857 | size=7.81 KB | ratio=0.0269 | reduction=97.31% | time=2.6509s
QP=36 | PSNR=36.57 | SSIM=0.9704 | size=3.93 KB | ratio=0.0135 | reduction=98.65% | time=2.9310s
QP=42 | PSNR=33.19 | SSIM=0.9494 | size=2.08 KB | ratio=0.0072 | reduction=99.28% | time=2.4718s
QP=48 | PSNR=29.84 | SSIM=0.9223 | size=1.14 KB | ratio=0.0039 | reduction=99.61% | time=2.1692s
QP= 6 | PSNR=51.61 | SSIM=0.9986 | size=104.99 KB | ratio=0.3298 | reduction=67.02% | time=5.5714s
QP=12 | PSNR=48.75 | SSIM=0.9978 | size=54.58 KB | ratio=0.1715 | reduction=82.85% | time=4.7324s
QP=18 | PSNR=45.39 | SSIM=0.9953 | size=25.94 KB | ratio=0.0815 | reduction=91.85% | time=3.9868s
QP=24 | PSNR=43.09 | SSIM=0.9917 | size=13.71 KB | ratio=0.0431 | reduction=95.69% | time=3.0527s
